utr,amount_paise,value_date,narration
UTR20260801001,4278592,2026-08-01,Razorpay Settlement UTR20260801001
UTR20260802001,3714233,2026-08-02,Razorpay Settlement UTR20260802001
UTR20260803001,1106657,2026-08-03,Razorpay Settlement UTR20260803001 Rounding Adj
UTR20260804001,510697,2026-08-04,Razorpay Partial Settlement UTR20260804001
UTR20260805001,664149,2026-08-05,Razorpay Settlement UTR20260805001 Credit 1
UTR20260805001,664149,2026-08-05,Razorpay Settlement UTR20260805001 Credit 2 (Duplicate)
UTR20260807001,318999,2026-08-07,Razorpay Settlement UTR20260807001 Unreconciled Delta
UTR20260808001,502456,2026-08-08,Razorpay Settlement UTR20260808001
UTR_ORPHAN_99901,250000,2026-08-11,Direct NEFT Credit Unknown Ref UTR_ORPHAN_99901
UTR_ORPHAN_99902,150000,2026-08-11,Manual Bank Transfer UTR_ORPHAN_99902
